TIPO_PROC,MUNIC_RES,MUNICIPIO,TOTAL_INTERNACOES,INTERNACOES_PARA_SOBRECARREGADO,PERC_PARA_SOBRECARREGADO,QTD_HOSPITAIS_DESTINO,CNES_CANDIDATO,HOSPITAL_CANDIDATO,PORTE_CANDIDATO,LAT_HOSPITAL_CANDIDATO,LON_HOSPITAL_CANDIDATO,DISTANCIA_KM
Tratamento Clinico,231050,"PEDRA BRANCA, CE",9,7,0.7777777777777778,2,2611481,MATERNIDADE E HOSPITAL SANTA ISABEL,Medio,-5.593502099999999,-39.37673119999999,40.657465268878916
Tratamento Clinico,231350,"TRAIRI, CE",9,7,0.7777777777777778,3,2427125,HOSP GERAL LUIZA ALCANTARA SILVA,Medio,-3.607021411057896,-38.9621899261819,49.92819445633897
Tratamento Clinico,231350,"TRAIRI, CE",9,7,0.7777777777777778,3,2562138,HOSP MATERN REG VALE DO CURU,Medio,-3.793352047131117,-39.27346932044814,57.29184062457376
Tratamento Clinico,231350,"TRAIRI, CE",9,7,0.7777777777777778,3,2562316,HOSP MUN ABELARDO GADELHA DA ROCHA,Medio,-3.7391831,-38.6499459,85.67509795936594
Tratamento Clinico,230100,"AQUIRAZ, CE",7,7,1.0,1,2611295,HOSPITAL MUNICIPAL DOUTOR AMADEU SA,Medio,-3.8706513504807054,-38.46924684707703,9.899431662621165
Tratamento Clinico,230100,"AQUIRAZ, CE",7,7,1.0,1,2785900,HOSPITAL GERAL DR WALDEMAR ALCANTARA,Grande,-3.8321166,-38.4801848,13.1836812117101
Tratamento Clinico,230100,"AQUIRAZ, CE",7,7,1.0,1,2480026,HOSPITAL DE SAUDE MENTAL DE MESSEJANA,Grande,-3.8218113889269687,-38.4836803296976,14.218039698238575
Tratamento Clinico,231140,"QUIXERAMOBIM, CE",16,6,0.375,4,2328372,HOSPITAL INFANTIL N S DO PERPETUO SOCORRO,Medio,-5.1971286331511,-39.29598169121193,0.13908210214405595
Tratamento Clinico,231140,"QUIXERAMOBIM, CE",16,6,0.375,4,2328380,HOSPITAL REGIONAL DR PONTES NETO,Medio,-5.1954883,-39.3117054,1.8181058001555508
Tratamento Clinico,231140,"QUIXERAMOBIM, CE",16,6,0.375,4,7061021,HOSPITAL REGIONAL DO SERTAO CENTRAL,Grande,-5.1832747,-39.2616355,4.108437726677452
Tratamento Clinico,230140,"ARATUBA, CE",6,6,1.0,1,2333716,HOSPITAL E MATERNIDADE JOSE PINTO DO CARMO,Medio,-4.3278553,-38.8824123,20.84127535949763
Tratamento Clinico,230140,"ARATUBA, CE",6,6,1.0,1,4010779,HOSP MATERN SANTA IZABEL ARACOIABA,Medio,-4.371982,-38.8104556,26.686122618631664
Tratamento Clinico,230140,"ARATUBA, CE",6,6,1.0,1,2527413,HOSPITAL E MATERNIDADE REGIONAL SAO FRANCISCO,Medio,-4.362193832452204,-39.31369957245525,30.312565861626304
Tratamento Clinico,230870,"MORADA NOVA, CE",14,5,0.3571428571428571,5,3302490,HOSPITAL REGIONAL FRANCISCO GALVAO DE OLIVEIRA,Medio,-5.104074499999999,-38.3627461,1.133336921166292
Tratamento Clinico,230870,"MORADA NOVA, CE",14,5,0.3571428571428571,5,9672427,HOSPITAL REGIONAL VALE DO JAGUARIBE,Medio,-5.119815697481895,-38.148281510879,24.810099829154346
Tratamento Clinico,230870,"MORADA NOVA, CE",14,5,0.3571428571428571,5,2527693,CASA DE SAUDE MATERNIDADE CELESTINA COLARES,Medio,-5.250982695891236,-38.13391455864896,30.76483898012804
Tratamento Clinico,230550,"IGUATU, CE",10,5,0.5,3,2675560,HOSPITAL REGIONAL DE IGUATU,Grande,-6.3587958,-39.29805899999999,0.0
Tratamento Clinico,230550,"IGUATU, CE",10,5,0.5,3,2675536,HOSPITAL MATERNIDADE AGENOR ARAUJO,Medio,-6.358432393912175,-39.29344113955305,0.5119211461946455
Tratamento Clinico,230550,"IGUATU, CE",10,5,0.5,3,5292190,HOSPITAL SAO VICENTE IESA,Medio,-6.363394402058099,-39.29676477248615,0.5309671764617575
Tratamento Clinico,230540,"ICO, CE",9,5,0.5555555555555556,2,2611309,HOSPITAL REGIONAL DE ICO DEPUTADO ORIEL GUIMARAES NUNES,Medio,-6.4005677,-38.8571841,0.0
Tratamento Clinico,230540,"ICO, CE",9,5,0.5555555555555556,2,2499029,HOSPITAL E MATERNIDADE ZULMIRA SEDRIN AGUIAR,Medio,-6.6072928,-39.0651707,32.502149806658174
Tratamento Clinico,230540,"ICO, CE",9,5,0.5555555555555556,2,2554518,HOSPITAL SAO VICENTE FERRER,Medio,-6.755822504665691,-38.95522751414177,40.96024819953773
Tratamento Clinico,230760,"LIMOEIRO DO NORTE, CE",9,5,0.5555555555555556,5,9672427,HOSPITAL REGIONAL VALE DO JAGUARIBE,Medio,-5.119815697481895,-38.148281510879,6.470939392396677
Tratamento Clinico,230760,"LIMOEIRO DO NORTE, CE",9,5,0.5555555555555556,5,2527693,CASA DE SAUDE MATERNIDADE CELESTINA COLARES,Medio,-5.250982695891236,-38.13391455864896,12.311474379453141
Tratamento Clinico,230760,"LIMOEIRO DO NORTE, CE",9,5,0.5555555555555556,5,3302490,HOSPITAL REGIONAL FRANCISCO GALVAO DE OLIVEIRA,Medio,-5.104074499999999,-38.3627461,29.868421280054292
Tratamento Clinico,230120,"ARACOIABA, CE",8,5,0.625,4,4010779,HOSP MATERN SANTA IZABEL ARACOIABA,Medio,-4.371982,-38.8104556,0.0
Tratamento Clinico,230120,"ARACOIABA, CE",8,5,0.625,4,2333716,HOSPITAL E MATERNIDADE JOSE PINTO DO CARMO,Medio,-4.3278553,-38.8824123,9.366247209830114
Tratamento Clinico,230120,"ARACOIABA, CE",8,5,0.625,4,2664666,HOSP MATERN PAULO SARASATE,Medio,-4.224501286840884,-38.72827271402963,18.760876057067012
Tratamento Clinico,230523,"HORIZONTE, CE",7,5,0.7142857142857143,4,2427176,HOSPITAL JOSE MARIA PHILOMENO GOMES,Medio,-4.1718324,-38.468231,8.664132213731866
Tratamento Clinico,230523,"HORIZONTE, CE",7,5,0.7142857142857143,4,2373270,HOSPITAL RAIMUNDO CELIO RODRIGUES,Medio,-3.9824484,-38.619293,18.889975215675616
Tratamento Clinico,230523,"HORIZONTE, CE",7,5,0.7142857142857143,4,2611295,HOSPITAL MUNICIPAL DOUTOR AMADEU SA,Medio,-3.8706513504807054,-38.46924684707703,25.514113473163537
Tratamento Clinico,230495,"GUAIUBA, CE",5,5,1.0,2,2373270,HOSPITAL RAIMUNDO CELIO RODRIGUES,Medio,-3.9824484,-38.619293,6.8461416100870185
Tratamento Clinico,230495,"GUAIUBA, CE",5,5,1.0,2,2806215,HOSPITAL MUNICIPAL DR JOAO ELISIO DE HOLANDA,Grande,-3.878280299999999,-38.6235309,18.278186534472685
Tratamento Clinico,230495,"GUAIUBA, CE",5,5,1.0,2,2372150,ABEMP,Medio,-3.8631455122918097,-38.58663872259474,20.595099211546657
Tratamento Clinico,231030,"PARAMBU, CE",5,5,1.0,1,2561026,HOSP MUNIC DR CICERO F FILHO,Medio,-6.2153313768892735,-40.70275894678217,0.7123190793658677
Tratamento Clinico,231030,"PARAMBU, CE",5,5,1.0,1,2481073,HOSPITAL SAO LUCAS,Grande,-5.182763636489275,-40.66716290409968,114.66313897547514
Tratamento Clinico,231030,"PARAMBU, CE",5,5,1.0,1,5077680,HOSPITAL MUNICIPAL JOSE FACUNDO FILHO,Medio,-6.514021899999999,-39.51603619999999,134.67124777860127
Tratamento Clinico,231270,"SENADOR POMPEU, CE",13,4,0.3076923076923077,3,2611481,MATERNIDADE E HOSPITAL SANTA ISABEL,Medio,-5.593502099999999,-39.37673119999999,0.7808130963331712
Tratamento Clinico,231270,"SENADOR POMPEU, CE",13,4,0.3076923076923077,3,2723255,HOSPITAL MUNICIPAL SAO SEBASTIAO E MATERNIDADE CELIA MENDES,Medio,-5.458738599999999,-39.71656369999999,40.611921175643666
Tratamento Clinico,231270,"SENADOR POMPEU, CE",13,4,0.3076923076923077,3,2328380,HOSPITAL REGIONAL DR PONTES NETO,Medio,-5.1954883,-39.3117054,44.11120209501755
Tratamento Clinico,231150,"QUIXERE, CE",8,4,0.5,3,9672427,HOSPITAL REGIONAL VALE DO JAGUARIBE,Medio,-5.119815697481895,-38.148281510879,18.347056134314318
Tratamento Clinico,231150,"QUIXERE, CE",8,4,0.5,3,2527693,CASA DE SAUDE MATERNIDADE CELESTINA COLARES,Medio,-5.250982695891236,-38.13391455864896,25.460811397646847
Tratamento Clinico,231150,"QUIXERE, CE",8,4,0.5,3,3302490,HOSPITAL REGIONAL FRANCISCO GALVAO DE OLIVEIRA,Medio,-5.104074499999999,-38.3627461,41.48675954297518
Tratamento Clinico,230700,"JAGUARUANA, CE",5,4,0.8,3,2372967,HOSPITAL MUNICIPAL DR EDUARDO DIAS,Medio,-4.562981574595703,-37.76377353711932,30.635444635796514
Tratamento Clinico,230700,"JAGUARUANA, CE",5,4,0.8,3,2373009,HOSPITAL E MATERNIDADE SANTA LUISA DE MARILLAC,Medio,-4.562208807071716,-37.77036450508371,30.679449032237635
Tratamento Clinico,230700,"JAGUARUANA, CE",5,4,0.8,3,9672427,HOSPITAL REGIONAL VALE DO JAGUARIBE,Medio,-5.119815697481895,-38.148281510879,51.2001732353277
Tratamento Clinico,231025,"PARAIPABA, CE",4,4,1.0,1,2427125,HOSP GERAL LUIZA ALCANTARA SILVA,Medio,-3.607021411057896,-38.9621899261819,27.946215794308394
Tratamento Clinico,231025,"PARAIPABA, CE",4,4,1.0,1,2562138,HOSP MATERN REG VALE DO CURU,Medio,-3.793352047131117,-39.27346932044814,41.921865873336905
Tratamento Clinico,231025,"PARAIPABA, CE",4,4,1.0,1,2562316,HOSP MUN ABELARDO GADELHA DA ROCHA,Medio,-3.7391831,-38.6499459,64.66860070006817
Tratamento Clinico,231085,"PINDORETAMA, CE",4,4,1.0,1,2514710,HOSPITAL E MATERNIDADE NOSSA SENHORA DAS GRACAS,Medio,-4.130368096161592,-38.23726026666231,13.330591324931483
Tratamento Clinico,231085,"PINDORETAMA, CE",4,4,1.0,1,2427176,HOSPITAL JOSE MARIA PHILOMENO GOMES,Medio,-4.1718324,-38.468231,24.086498008032112
Tratamento Clinico,231085,"PINDORETAMA, CE",4,4,1.0,1,2372819,HOSPITAL MUNICIPAL MONSENHOR DOURADO,Medio,-4.181112008182183,-38.13127361007147,25.422381970423213
Tratamento Clinico,230420,"CRATO, CE",12,3,0.25,4,2415488,HOSPITAL E MATERNIDADE SAO FRANCISCO DE ASSIS,Medio,-7.2367808,-39.415336,0.8294444627058737
Tratamento Clinico,230420,"CRATO, CE",12,3,0.25,4,2415461,HOSPITAL SANTE CARIRI,Medio,-7.231126900544753,-39.40099981603153,1.2531225978100358
Tratamento Clinico,230420,"CRATO, CE",12,3,0.25,4,6779522,HOSPITAL REGIONAL DO CARIRI,Grande,-7.2263193,-39.3254599,9.587801879650579
Tratamento Clinico,230110,"ARACATI, CE",7,3,0.4285714285714285,2,2373009,HOSPITAL E MATERNIDADE SANTA LUISA DE MARILLAC,Medio,-4.562208807071716,-37.77036450508371,0.2002881342177552
Tratamento Clinico,230110,"ARACATI, CE",7,3,0.4285714285714285,2,2372967,HOSPITAL MUNICIPAL DR EDUARDO DIAS,Medio,-4.562981574595703,-37.76377353711932,0.5973678602028185
Tratamento Clinico,230110,"ARACATI, CE",7,3,0.4285714285714285,2,2372819,HOSPITAL MUNICIPAL MONSENHOR DOURADO,Medio,-4.181112008182183,-38.13127361007147,58.31676366641583
Tratamento Clinico,230240,"BOA VIAGEM, CE",7,3,0.4285714285714285,2,2479028,CASA DE SAUDE ADILIA MARIA,Medio,-5.125235399999999,-39.729597,0.17087476102283972
Tratamento Clinico,230240,"BOA VIAGEM, CE",7,3,0.4285714285714285,2,2723255,HOSPITAL MUNICIPAL SAO SEBASTIAO E MATERNIDADE CELIA MENDES,Medio,-5.458738599999999,-39.71656369999999,37.03592474676823
Tratamento Clinico,230240,"BOA VIAGEM, CE",7,3,0.4285714285714285,2,2328380,HOSPITAL REGIONAL DR PONTES NETO,Medio,-5.1954883,-39.3117054,47.06786682631783
Tratamento Clinico,230740,"JUCAS, CE",4,3,0.75,2,5077680,HOSPITAL MUNICIPAL JOSE FACUNDO FILHO,Medio,-6.514021899999999,-39.51603619999999,1.1914261448930221
Tratamento Clinico,230740,"JUCAS, CE",4,3,0.75,2,5292190,HOSPITAL SAO VICENTE IESA,Medio,-6.363394402058099,-39.29676477248615,30.643468092279083
Tratamento Clinico,230740,"JUCAS, CE",4,3,0.75,2,2675560,HOSPITAL REGIONAL DE IGUATU,Grande,-6.3587958,-39.29805899999999,30.821875357310837
Tratamento Clinico,231090,"PIQUET CARNEIRO, CE",4,3,0.75,2,2611481,MATERNIDADE E HOSPITAL SANTA ISABEL,Medio,-5.593502099999999,-39.37673119999999,23.78711620500598
Tratamento Clinico,231090,"PIQUET CARNEIRO, CE",4,3,0.75,2,9275134,HOSPITAL MUNICIPAL DE ACOPIARA PADRE CRISARES SAMPAIO COUTO,Medio,-6.0931519,-39.4531552,32.44050265392366
Tratamento Clinico,231090,"PIQUET CARNEIRO, CE",4,3,0.75,2,2723255,HOSPITAL MUNICIPAL SAO SEBASTIAO E MATERNIDADE CELIA MENDES,Medio,-5.458738599999999,-39.71656369999999,50.68353229249466
Tratamento Clinico,230185,"BANABUIU, CE",3,3,1.0,1,2328399,HOSPITAL E MATERNIDADE JESUS MARIA JOSE HMJMJ,Medio,-4.9669795,-39.0245184,39.46224625147841
Tratamento Clinico,230185,"BANABUIU, CE",3,3,1.0,1,7061021,HOSPITAL REGIONAL DO SERTAO CENTRAL,Grande,-5.1832747,-39.2616355,40.19577466995975
Tratamento Clinico,230185,"BANABUIU, CE",3,3,1.0,1,2328372,HOSPITAL INFANTIL N S DO PERPETUO SOCORRO,Medio,-5.1971286331511,-39.29598169121193,43.33362607049429
Tratamento Clinico,230730,"JUAZEIRO DO NORTE, CE",23,2,0.0869565217391304,4,6779522,HOSPITAL REGIONAL DO CARIRI,Grande,-7.2263193,-39.3254599,1.3926686444218201
Tratamento Clinico,230730,"JUAZEIRO DO NORTE, CE",23,2,0.0869565217391304,4,2562499,HOSPITAL MATERNIDADE SAO LUCAS,Medio,-7.205665480644018,-39.31019262874244,2.0849431570462778
Tratamento Clinico,230730,"JUAZEIRO DO NORTE, CE",23,2,0.0869565217391304,4,2415461,HOSPITAL SANTE CARIRI,Medio,-7.231126900544753,-39.40099981603153,9.736061534434056
Tratamento Clinico,230020,"ACARAU, CE",10,2,0.2,3,2516632,HOSP DR MOURA FERREIRA,Medio,-2.8857993844743963,-40.11621624812955,1.3882708266201358
Tratamento Clinico,230020,"ACARAU, CE",10,2,0.2,3,4527372,HOSPITAL DE TRAUMATOLOGIA E ORTOPEDIA DE ACARAU,Medio,-2.885820264715285,-40.09997708815115,2.5249894978056315
Tratamento Clinico,230020,"ACARAU, CE",10,2,0.2,3,2563460,HOSP MUNIC DONA MARIA MUNIZ,Medio,-2.921917927927585,-40.18268711683469,7.536624440704083
Tratamento Clinico,231240,"SAO GONCALO DO AMARANTE, CE",8,2,0.25,3,2427125,HOSP GERAL LUIZA ALCANTARA SILVA,Medio,-3.607021411057896,-38.9621899261819,0.688505123606012
Tratamento Clinico,231240,"SAO GONCALO DO AMARANTE, CE",8,2,0.25,3,2562316,HOSP MUN ABELARDO GADELHA DA ROCHA,Medio,-3.7391831,-38.6499459,38.259143016483385
Tratamento Clinico,231240,"SAO GONCALO DO AMARANTE, CE",8,2,0.25,3,2562138,HOSP MATERN REG VALE DO CURU,Medio,-3.793352047131117,-39.27346932044814,39.67446323206307
