HOSPITAL,INTERNACOES,CNES,PORTE,THRESHOLD,SOBRECARREGADO
HOSPITAL MUNICIPAL HUMBERTO DE QUEIROZ,1,2705923,Pequeno,3.6847943704472943,False
HOSPITAL MATERNIDADE MARIA SUELLY NOGUEIRA PINHEIRO,2,2328119,Pequeno,3.6847943704472943,False
HOSPITAL E MATERNIDADE JOSE GRANJA RIBEIRO,1,2479710,Pequeno,3.6847943704472943,False
HOSP MUNIC ANTONIO NERY FILHO,1,2560836,Pequeno,3.6847943704472943,False
IMTAVI,1,2480646,Medio,14.342529949988894,False
HOSPITAL MUNICIPAL JAIME OSTERNO,2,2560984,Pequeno,3.6847943704472943,False
H J M A HOSPITAL JOSE MARTINIANO DE ALENCAR,1,2479907,Medio,14.342529949988894,False
HIAS HOSPITAL INFANTIL ALBERT SABIN,2,2563681,Grande,234.11877694421602,False
HOSP MATERN SANTA IZABEL ARACOIABA,1,4010779,Medio,14.342529949988894,False
HOSPITAL MATERNIDADE NOSSA SENHORA DA EXPECTACAO,1,2560976,Pequeno,3.6847943704472943,False
