CNES,TOTAL_LEITOS_SUS,PORTE
6664563,1,Pequeno
6759122,5,Pequeno
6779522,284,Grande
6848710,453,Grande
6860346,1,Pequeno
6959644,0,Pequeno
7043597,31,Pequeno
7043678,8,Pequeno
7047428,174,Grande
7061021,182,Grande
7099479,0,Pequeno
7187114,0,Pequeno
7372523,7,Pequeno
7389272,7,Pequeno
7396732,4,Pequeno
7399626,7,Pequeno
7416083,0,Pequeno
7429398,15,Pequeno
7434308,15,Pequeno
7434472,15,Pequeno
7514573,2,Pequeno
7514948,16,Pequeno
7737823,0,Pequeno
7837313,2,Pequeno
7840098,0,Pequeno
7980310,15,Pequeno
7988400,9,Pequeno
7992130,8,Pequeno
7993218,15,Pequeno
9006516,0,Pequeno
9034390,12,Pequeno
9052836,0,Pequeno
9066373,0,Pequeno
9092218,2,Pequeno
9241477,8,Pequeno
9247971,0,Pequeno
9252045,0,Pequeno
9275134,94,Medio
9289097,0,Pequeno
9297502,0,Pequeno
9314296,0,Pequeno
9353550,0,Pequeno
9526293,15,Pequeno
9532684,0,Pequeno
9658815,1,Pequeno
9672427,110,Medio
9675787,0,Pequeno
9717366,0,Pequeno
9764089,0,Pequeno
9787399,7,Pequeno
9813071,0,Pequeno
