CNES,HOSPITAL,PORTE,NOME_NORM,Latitude,Longitude,SOBRECARREGADO_REDE_PULMAO
2328437,HOSPITAL MUNICIPAL SAO BERNARDO,Pequeno,HOSPITAL MUNICIPAL SAO BERNARDO,-5.916552668165437,-39.26551273860898,False
2526670,HOSPITAL MUNICIPAL FRANCISCO NOGUEIRA DE QUEIROZ,Pequeno,HOSPITAL MUNICIPAL FRANCISCO NOGUEIRA DE QUEIROZ,-6.028244092940372,-38.34796662479939,False
2611295,HOSPITAL MUNICIPAL DOUTOR AMADEU SA,Medio,HOSPITAL MUNICIPAL DOUTOR AMADEU SA,-3.8706513504807054,-38.46924684707703,False
2372479,HOSPITAL GERAL DE FARIAS BRITO HGFB,Pequeno,HOSPITAL GERAL DE FARIAS BRITO HGFB,-6.930616499999999,-39.568966,False
2529149,IJF INSTITUTO DR JOSE FROTA CENTRAL,Especial,IJF INSTITUTO DR JOSE FROTA CENTRAL,-3.7342646700838658,-38.531428645384175,False
2481286,MATERNIDADE ESCOLA ASSIS CHATEAUBRIAND,Grande,MATERNIDADE ESCOLA ASSIS CHATEAUBRIAND,-3.7483734544606415,-38.55287956928848,False
2373971,CENTRO DE NEURORREABILITACAO SARAH FORTALEZA,Medio,CENTRO DE NEURORREABILITACAO SARAH FORTALEZA,-3.818094106650346,-38.53419671099119,False
2516640,HOSPITAL DISTRITAL MARIA JOSE BARROSO DE OLIVEIRA PARANGABA,Medio,HOSPITAL DISTRITAL MARIA JOSE BARROSO DE OLIVEIRA PARANGABA,-3.77899,-38.57196,False
2723220,HOSPITAL HAROLDO JUACABA,Medio,HOSPITAL HAROLDO JUACABA,-3.7473816,-38.5535314,True
6558895,PRONTOCARDIO SERVICOS MEDICOS HOSPITALARES LTDA,Pequeno,PRONTOCARDIO SERVICOS MEDICOS HOSPITALARES LTDA,-3.7286630097825615,-38.505585032909934,False
7047428,HOSPITAL E MATERNIDADE DRA ZILDA ARNS NEUMANN,Grande,HOSPITAL E MATERNIDADE DRA ZILDA ARNS NEUMANN,-3.762924043180869,-38.57404560561884,False
